Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2015-09-19,Milan,Palermo,3,2,H,2.0,1.0,H,,18,13,8,3,8,8,7,3,1,2,0,0,1516
2015-09-19,Udinese,Empoli,1,2,A,1.0,0.0,H,,7,12,2,6,26,14,2,5,4,3,1,0,1516
2015-09-20,Atalanta,Verona,1,1,D,0.0,0.0,D,,14,9,2,3,21,19,8,2,3,3,0,1,1516
2015-09-20,Bologna,Frosinone,1,0,H,1.0,0.0,H,,12,20,2,6,19,17,6,5,4,5,0,0,1516
2015-09-20,Carpi,Fiorentina,0,1,A,0.0,1.0,A,,11,8,3,2,21,15,4,3,3,4,0,0,1516
2015-09-20,Chievo,Inter,0,1,A,0.0,1.0,A,,15,14,2,3,16,13,8,8,3,1,0,0,1516
2015-09-20,Genoa,Juventus,0,2,A,0.0,1.0,A,,7,13,0,4,21,23,1,2,1,4,1,0,1516
2015-09-20,Napoli,Lazio,5,0,H,2.0,0.0,H,,19,9,10,1,12,12,7,1,1,2,0,0,1516
2015-09-20,Roma,Sassuolo,2,2,D,1.0,2.0,A,,21,12,7,4,15,15,11,4,2,3,0,0,1516
2015-09-20,Torino,Sampdoria,2,0,H,2.0,0.0,H,,19,13,8,5,9,10,7,7,2,3,0,0,1516
2015-09-22,Udinese,Milan,2,3,A,0.0,3.0,A,,11,9,3,3,24,21,7,1,4,3,1,0,1516
2015-09-23,Carpi,Napoli,0,0,D,0.0,0.0,D,,11,22,1,4,13,16,4,4,3,3,0,0,1516
2015-09-23,Chievo,Torino,1,0,H,0.0,0.0,D,,10,4,5,1,12,13,0,4,3,3,0,0,1516
2015-09-23,Fiorentina,Bologna,2,0,H,0.0,0.0,D,,18,3,4,1,15,12,6,0,1,2,0,0,1516
2015-09-23,Inter,Verona,1,0,H,0.0,0.0,D,,17,7,4,1,12,8,11,2,4,4,0,0,1516
2015-09-23,Juventus,Frosinone,1,1,D,0.0,0.0,D,,36,9,7,1,16,10,10,5,2,3,0,0,1516
2015-09-23,Lazio,Genoa,2,0,H,1.0,0.0,H,,10,9,3,3,19,11,10,3,4,2,0,2,1516
2015-09-23,Palermo,Sassuolo,0,1,A,0.0,1.0,A,,9,13,2,4,21,15,2,5,0,6,1,0,1516
2015-09-23,Sampdoria,Roma,2,1,H,0.0,0.0,D,,6,24,3,8,14,15,4,19,6,3,0,0,1516
2015-09-24,Empoli,Atalanta,0,1,A,0.0,1.0,A,,10,13,1,3,12,19,4,5,2,4,0,0,1516
2015-09-26,Napoli,Juventus,2,1,H,1.0,0.0,H,,13,12,5,3,18,16,4,4,2,4,0,0,1516
2015-09-26,Roma,Carpi,5,1,H,3.0,1.0,H,,17,13,10,6,13,14,6,6,1,1,0,0,1516
2015-09-27,Bologna,Udinese,1,2,A,1.0,0.0,H,,12,12,3,3,12,13,6,4,4,3,0,0,1516
2015-09-27,Genoa,Milan,1,0,H,1.0,0.0,H,,11,12,2,3,24,29,7,4,4,4,0,1,1516
2015-09-27,Inter,Fiorentina,1,4,A,0.0,3.0,A,,5,12,2,8,10,15,2,3,4,2,1,0,1516
2015-09-27,Sassuolo,Chievo,1,1,D,1.0,1.0,D,,13,12,5,2,16,22,4,2,3,1,0,0,1516
2015-09-27,Torino,Palermo,2,1,H,1.0,0.0,H,,10,11,3,3,15,20,5,1,2,5,2,0,1516
2015-09-27,Verona,Lazio,1,2,A,1.0,0.0,H,,6,13,1,3,18,13,3,10,2,2,0,1,1516
2015-09-28,Atalanta,Sampdoria,2,1,H,1.0,0.0,H,,18,8,5,4,22,15,5,4,3,3,0,0,1516
2015-09-28,Frosinone,Empoli,2,0,H,0.0,0.0,D,,10,13,4,5,28,18,4,5,3,4,0,1,1516
2015-10-03,Carpi,Torino,2,1,H,0.0,0.0,D,,7,13,3,3,10,19,2,5,2,1,0,0,1516
2015-10-03,Chievo,Verona,1,1,D,0.0,0.0,D,,17,10,7,3,22,12,5,5,3,0,0,0,1516
2015-10-04,Empoli,Sassuolo,1,0,H,0.0,0.0,D,,18,7,4,1,21,25,5,2,2,3,1,0,1516
2015-10-04,Fiorentina,Atalanta,3,0,H,2.0,0.0,H,,29,5,9,1,12,15,8,4,0,2,0,1,1516
2015-10-04,Juventus,Bologna,3,1,H,1.0,1.0,D,,19,2,8,1,8,9,5,2,1,5,0,0,1516
2015-10-04,Lazio,Frosinone,2,0,H,0.0,0.0,D,,27,12,10,6,15,14,10,6,4,1,0,0,1516
2015-10-04,Milan,Napoli,0,4,A,0.0,1.0,A,,12,11,2,4,12,11,5,1,3,3,0,0,1516
2015-10-04,Palermo,Roma,2,4,A,0.0,3.0,A,,14,13,5,8,15,16,6,3,4,3,0,0,1516
2015-10-04,Sampdoria,Inter,1,1,D,0.0,0.0,D,,15,17,6,7,14,12,9,9,2,4,0,0,1516
2015-10-04,Udinese,Genoa,1,1,D,0.0,0.0,D,,9,19,3,7,12,17,2,10,2,1,0,0,1516
2015-10-17,Roma,Empoli,3,1,H,0.0,0.0,D,,9,13,5,6,17,9,6,4,1,1,0,0,1516
2015-10-17,Torino,Milan,1,1,D,0.0,0.0,D,,6,8,2,3,28,11,7,1,3,4,0,0,1516
2015-10-18,Atalanta,Carpi,3,0,H,2.0,0.0,H,,15,13,7,5,16,13,8,7,1,3,0,0,1516
2015-10-18,Bologna,Palermo,0,1,A,0.0,1.0,A,,17,9,6,4,8,15,6,6,1,4,0,0,1516
2015-10-18,Frosinone,Sampdoria,2,0,H,0.0,0.0,D,,15,19,4,2,11,16,8,12,2,4,0,0,1516
2015-10-18,Genoa,Chievo,3,2,H,2.0,1.0,H,,12,21,6,3,14,17,7,7,2,2,1,0,1516
2015-10-18,Inter,Juventus,0,0,D,0.0,0.0,D,,8,15,2,4,14,14,4,9,3,5,0,0,1516
2015-10-18,Napoli,Fiorentina,2,1,H,0.0,0.0,D,,13,10,6,3,11,18,4,5,3,4,0,0,1516
2015-10-18,Sassuolo,Lazio,2,1,H,1.0,0.0,H,,15,12,4,3,7,21,3,9,1,3,0,1,1516
2015-10-18,Verona,Udinese,1,1,D,1.0,0.0,H,,8,15,2,5,14,11,8,8,2,2,0,0,1516
2015-10-24,Carpi,Bologna,1,2,A,1.0,0.0,H,,7,15,1,4,16,9,3,8,2,2,1,0,1516
2015-10-24,Empoli,Genoa,2,0,H,1.0,0.0,H,,15,14,5,3,11,25,3,8,3,3,0,0,1516
2015-10-24,Palermo,Inter,1,1,D,0.0,0.0,D,,10,19,2,7,11,11,3,10,3,1,0,1,1516
2015-10-25,Chievo,Napoli,0,1,A,0.0,0.0,D,,7,17,1,4,19,12,2,8,1,2,0,0,1516
2015-10-25,Fiorentina,Roma,1,2,A,0.0,2.0,A,,21,6,4,4,9,17,8,1,2,4,0,1,1516
2015-10-25,Juventus,Atalanta,2,0,H,1.0,0.0,H,,19,5,10,0,9,16,4,3,2,2,0,1,1516
2015-10-25,Lazio,Torino,3,0,H,1.0,0.0,H,,10,7,3,3,13,23,0,7,2,3,0,0,1516
2015-10-25,Milan,Sassuolo,2,1,H,1.0,0.0,H,,21,4,3,2,21,13,7,2,1,3,0,1,1516
2015-10-25,Sampdoria,Verona,4,1,H,3.0,0.0,H,,10,11,6,1,18,11,2,8,2,2,0,0,1516
2015-10-25,Udinese,Frosinone,1,0,H,1.0,0.0,H,,19,12,7,2,13,23,6,3,4,2,0,0,1516
2015-10-27,Bologna,Inter,0,1,A,0.0,0.0,D,,7,11,3,6,11,15,2,2,1,2,0,1,1516
2015-10-28,Atalanta,Lazio,2,1,H,0.0,1.0,A,,8,6,3,3,17,15,5,6,2,4,0,0,1516
2015-10-28,Frosinone,Carpi,2,1,H,0.0,0.0,D,,8,13,3,3,19,19,5,4,1,3,1,1,1516
2015-10-28,Milan,Chievo,1,0,H,0.0,0.0,D,,24,4,4,3,10,15,10,3,0,2,0,0,1516
2015-10-28,Napoli,Palermo,2,0,H,1.0,0.0,H,,23,8,8,0,9,4,8,2,0,0,0,0,1516
2015-10-28,Roma,Udinese,3,1,H,2.0,0.0,H,,19,6,9,2,12,10,3,4,1,3,0,0,1516
2015-10-28,Sassuolo,Juventus,1,0,H,1.0,0.0,H,,7,14,3,3,20,21,1,11,5,2,0,1,1516
2015-10-28,Torino,Genoa,3,3,D,2.0,1.0,H,,17,10,6,4,10,19,4,2,2,1,0,0,1516
2015-10-28,Verona,Fiorentina,0,2,A,0.0,1.0,A,,2,9,0,2,17,11,5,2,5,2,0,0,1516
2015-10-29,Sampdoria,Empoli,1,1,D,0.0,0.0,D,,14,17,3,5,19,15,6,5,2,3,0,1,1516
2015-10-31,Inter,Roma,1,0,H,1.0,0.0,H,,10,19,3,9,10,10,4,9,4,1,0,1,1516
2015-10-31,Juventus,Torino,2,1,H,1.0,0.0,H,,17,10,6,5,17,14,7,3,2,5,0,0,1516
2015-11-01,Bologna,Atalanta,3,0,H,0.0,0.0,D,,10,8,5,2,23,14,0,4,5,3,0,0,1516
2015-11-01,Carpi,Verona,0,0,D,0.0,0.0,D,,11,11,6,3,19,17,5,6,2,3,0,0,1516
2015-11-01,Fiorentina,Frosinone,4,1,H,4.0,0.0,H,,31,6,9,1,11,11,8,1,0,1,0,0,1516
2015-11-01,Genoa,Napoli,0,0,D,0.0,0.0,D,,9,18,1,8,12,16,1,6,3,2,0,0,1516
2015-11-01,Lazio,Milan,1,3,A,0.0,1.0,A,,10,9,4,3,21,11,7,3,2,2,0,0,1516
2015-11-01,Udinese,Sassuolo,0,0,D,0.0,0.0,D,,14,6,2,2,14,12,10,1,1,2,0,0,1516
2015-11-02,Chievo,Sampdoria,1,1,D,1.0,1.0,D,,14,10,2,3,19,10,4,3,3,2,0,0,1516
